sheet,period,chain,co_owned,state,empft,emppt,wage_st,fte,dfte,gap,dw
290,1,4,0,1,8,12,4.75,14,-2.5,0.063158,0.3
290,2,4,0,1,0,23,5.05,11.5,-2.5,0.063158,0.3
291,1,4,0,1,4,20,4.55,14,-1,0.10989,0.55
291,2,4,0,1,5,16,5.1,13,-1,0.10989,0.55
292,1,4,0,1,10,15,4.8,17.5,3,0.052083,0.25
292,2,4,0,1,15,11,5.05,20.5,3,0.052083,0.25
296,1,1,1,1,5,16,5.3,13,-4.5,0,-0.25
296,2,1,1,1,4,9,5.05,8.5,-4.5,0,-0.25
297,1,1,1,1,9,15,4.25,16.5,13.5,0.188235,0.8
297,2,1,1,1,15,30,5.05,30,13.5,0.188235,0.8
299,1,2,1,1,3,8,5,7,5,0.01,0.05
299,2,2,1,1,6,12,5.05,12,5,0.01,0.05
301,1,2,1,1,8,12,5,14,-8.5,0.01,0.05
301,2,2,1,1,2,7,5.05,5.5,-8.5,0.01,0.05
303,1,3,1,1,10,35,4.35,27.5,2,0.16092,0.7
303,2,3,1,1,12,35,5.05,29.5,2,0.16092,0.7
304,1,3,0,1,10,20,4.5,20,-2.5,0.122222,0.55
304,2,3,0,1,10,15,5.05,17.5,-2.5,0.122222,0.55
305,1,3,1,1,0,20,4.39,10,6,0.150342,0.66
305,2,3,1,1,5,22,5.05,16,6,0.150342,0.66
307,1,3,1,1,17.5,17.5,4.25,26.25,11.25,0.188235,0.95
307,2,3,1,1,25,25,5.2,37.5,11.25,0.188235,0.95
310,1,4,0,1,0,28,4.25,14,0.5,0.188235,0.8
310,2,4,0,1,3,23,5.05,14.5,0.5,0.188235,0.8
312,1,1,0,1,4,6,4.25,7,-3,0.188235,0.8
312,2,1,0,1,3,2,5.05,4,-3,0.188235,0.8
314,1,1,0,1,8,12,4.62,14,4,0.093074,0.63
314,2,1,0,1,15,6,5.25,18,4,0.093074,0.63
316,1,1,1,1,15,15,4.62,22.5,-3.5,0.093074,0.43
316,2,1,1,1,12,14,5.05,19,-3.5,0.093074,0.43
317,1,1,0,1,0,8,4.25,4,0,0.188235,0.8
317,2,1,0,1,4,0,5.05,4,0,0.188235,0.8
318,1,2,0,1,5,7,4.75,8.5,1.5,0.063158,0.3
318,2,2,0,1,7,6,5.05,10,1.5,0.063158,0.3
319,1,2,0,1,0,11,4.62,5.5,18.5,0.093074,0.43
319,2,2,0,1,22,4,5.05,24,18.5,0.093074,0.43
320,1,2,0,1,5,9,5,9.5,-2.5,0.01,0.05
320,2,2,0,1,4,6,5.05,7,-2.5,0.01,0.05
321,1,2,0,1,3,14,5,10,-0.5,0.01,0.05
321,2,2,0,1,4,11,5.05,9.5,-0.5,0.01,0.05
322,1,3,1,1,8,13,4.75,14.5,0,0.063158,0.3
322,2,3,1,1,12,5,5.05,14.5,0,0.063158,0.3
324,1,3,0,1,20,46,5.25,43,-1.5,0,-0.2
324,2,3,0,1,22,39,5.05,41.5,-1.5,0,-0.2
325,1,3,1,1,4,15,4.5,11.5,-3,0.122222,0.55
325,2,3,1,1,1,15,5.05,8.5,-3,0.122222,0.55
326,1,3,1,1,18,45,5.15,40.5,-18,0,-0.1
326,2,3,1,1,0,45,5.05,22.5,-18,0,-0.1
330,1,4,0,1,4,16,5.42,12,1,0,0.25
330,2,4,0,1,3,20,5.67,13,1,0,0.25
333,1,1,0,1,2,16.5,4.25,10.25,2.75,0.188235,0.8
333,2,1,0,1,3,20,5.05,13,2.75,0.188235,0.8
334,1,1,0,1,10,10,5,15,-5,0.01,0.05
334,2,1,0,1,0,20,5.05,10,-5,0.01,0.05
336,1,1,0,1,28,12,4.5,34,-14,0.122222,0.55
336,2,1,0,1,10,20,5.05,20,-14,0.122222,0.55
337,1,1,1,1,5,29.5,4.87,19.75,7.75,0.036961,0.18
337,2,1,1,1,25,5,5.05,27.5,7.75,0.036961,0.18
339,1,1,1,1,18,6,4.25,21,-11.5,0.188235,0.8
339,2,1,1,1,5,9,5.05,9.5,-11.5,0.188235,0.8
340,1,1,0,1,6,30,4.25,21,2.5,0.188235,0.8
340,2,1,0,1,15,17,5.05,23.5,2.5,0.188235,0.8
341,1,2,1,1,2,7,4.62,5.5,1,0.093074,0.43
341,2,2,1,1,3,7,5.05,6.5,1,0.093074,0.43
343,1,2,1,1,10,6,4.75,13,-3.5,0.063158,0.3
343,2,2,1,1,4,11,5.05,9.5,-3.5,0.063158,0.3
349,1,3,1,1,2.5,27,5,16,-6,0.01,0.05
349,2,3,1,1,0,20,5.05,10,-6,0.01,0.05
350,1,3,1,1,8,9,4.75,12.5,2.5,0.063158,0.3
350,2,3,1,1,5,20,5.05,15,2.5,0.063158,0.3
351,1,3,1,1,2,27.5,4.25,15.75,4.25,0.188235,0.8
351,2,3,1,1,10,20,5.05,20,4.25,0.188235,0.8
354,1,4,0,1,14,7,5.06,17.5,-5,0,-0.01
354,2,4,0,1,9,7,5.05,12.5,-5,0,-0.01
356,1,4,0,1,11.5,10,5.05,16.5,-2.5,0,0
356,2,4,0,1,0,28,5.05,14,-2.5,0,0
357,1,4,0,1,4.5,20,5,14.5,9.5,0.01,0.25
357,2,4,0,1,21,6,5.25,24,9.5,0.01,0.25
359,1,1,1,1,0,22,4.25,11,2,0.188235,0.8
359,2,1,1,1,0,26,5.05,13,2,0.188235,0.8
360,1,1,0,1,3,25,4.25,15.5,5.5,0.188235,0.8
360,2,1,0,1,5,32,5.05,21,5.5,0.188235,0.8
361,1,1,0,1,6,13,4.25,12.5,3,0.188235,0.8
361,2,1,0,1,4,23,5.05,15.5,3,0.188235,0.8
363,1,2,0,1,0,25,4.25,12.5,5,0.188235,0.95
363,2,2,0,1,14,7,5.2,17.5,5,0.188235,0.95
364,1,2,0,1,3.5,20,4.25,13.5,2.5,0.188235,0.8
364,2,2,0,1,1,30,5.05,16,2.5,0.188235,0.8
366,1,3,0,1,2,17,4.5,10.5,0,0.122222,0.55
366,2,3,0,1,1,19,5.05,10.5,0,0.122222,0.55
368,1,4,0,1,0,20,4.25,10,2.5,0.188235,0.8
368,2,4,0,1,0,25,5.05,12.5,2.5,0.188235,0.8
370,1,1,0,1,20,11.5,4.85,25.75,2.75,0.041237,0.2
370,2,1,0,1,26,5,5.05,28.5,2.75,0.041237,0.2
371,1,1,0,1,12,23,5,23.5,-1.5,0.01,0.25
371,2,1,0,1,11,22,5.25,22,-1.5,0.01,0.25
373,1,1,1,1,14,12,5,20,5.5,0.01,0.05
373,2,1,1,1,18,15,5.05,25.5,5.5,0.01,0.05
375,1,1,0,1,25,10,5.25,30,-17.5,0,0.25
375,2,1,0,1,0,25,5.5,12.5,-17.5,0,0.25
376,1,1,0,1,4,10,4.5,9,-0.5,0.122222,0.55
376,2,1,0,1,0,17,5.05,8.5,-0.5,0.122222,0.55
377,1,1,0,1,12,6,4.25,15,2,0.188235,0.8
377,2,1,0,1,11,12,5.05,17,2,0.188235,0.8
378,1,1,1,1,10,8,5,14,13.5,0.01,0.05
378,2,1,1,1,20,15,5.05,27.5,13.5,0.01,0.05
379,1,1,0,1,20,12,4.62,26,5,0.093074,0.43
379,2,1,0,1,28,6,5.05,31,5,0.093074,0.43
380,1,1,0,1,10,15,4.5,17.5,4.5,0.122222,0.55
380,2,1,0,1,15,14,5.05,22,4.5,0.122222,0.55
381,1,1,0,1,10,20,5,20,2.5,0.01,0.05
381,2,1,0,1,15,15,5.05,22.5,2.5,0.01,0.05
383,1,1,0,1,6,4,4.5,8,0,0.122222,0.55
383,2,1,0,1,7,2,5.05,8,0,0.122222,0.55
385,1,1,0,1,16,14,4.25,23,-1,0.188235,0.8
385,2,1,0,1,15,14,5.05,22,-1,0.188235,0.8
386,1,1,0,1,0,19,4.25,9.5,9.5,0.188235,0.8
386,2,1,0,1,14,10,5.05,19,9.5,0.188235,0.8
391,1,2,0,1,15,5,4.25,17.5,-2,0.188235,0.8
391,2,2,0,1,12,7,5.05,15.5,-2,0.188235,0.8
393,1,2,1,1,4,10,4.62,9,11,0.093074,0.63
393,2,2,1,1,18,4,5.25,20,11,0.093074,0.63
396,1,3,1,1,24,16,4.87,32,-9,0.036961,0.53
396,2,3,1,1,8,30,5.4,23,-9,0.036961,0.53
397,1,3,1,1,4,28,4.25,18,-4.5,0.188235,0.8
397,2,3,1,1,6,15,5.05,13.5,-4.5,0.188235,0.8
398,1,3,1,1,14,13,4.75,20.5,12,0.063158,0.3
398,2,3,1,1,25,15,5.05,32.5,12,0.063158,0.3
399,1,3,1,1,13,8,4.87,17,10,0.036961,0.18
399,2,3,1,1,18,18,5.05,27,10,0.036961,0.18
400,1,3,1,1,16,15,4.5,23.5,-3.5,0.122222,0.55
400,2,3,1,1,8,24,5.05,20,-3.5,0.122222,0.55
401,1,3,0,1,8,6,4.25,11,7.5,0.188235,0.8
401,2,3,0,1,5,27,5.05,18.5,7.5,0.188235,0.8
402,1,3,1,1,11,10,4.75,16,3.5,0.063158,0.3
402,2,3,1,1,17,5,5.05,19.5,3.5,0.063158,0.3
405,1,3,1,1,6,17,4.32,14.5,-5.5,0.168981,0.73
405,2,3,1,1,1.5,15,5.05,9,-5.5,0.168981,0.73
406,1,4,1,1,12,35,5,29.5,-1.5,0.01,0.5
406,2,4,1,1,17,22,5.5,28,-1.5,0.01,0.5
407,1,2,1,0,2,12,4.75,8,0,0,-0.5
407,2,2,1,0,1,14,4.25,8,0,0,-0.5
409,1,1,0,1,3,60,5,33,-25.5,0.01,0.05
409,2,1,0,1,0,15,5.05,7.5,-25.5,0.01,0.05
410,1,1,0,1,0,35,4.25,17.5,0,0.188235,0.8
410,2,1,0,1,0,35,5.05,17.5,0,0.188235,0.8
411,1,1,0,1,0,36,4.5,18,4,0.122222,0.55
411,2,1,0,1,4,36,5.05,22,4,0.122222,0.55
412,1,2,0,1,0,17,4.5,8.5,-2,0.122222,0.55
412,2,2,0,1,0,13,5.05,6.5,-2,0.122222,0.55
413,1,1,0,1,0,36,4.25,18,-8,0.188235,0.8
413,2,1,0,1,0,20,5.05,10,-8,0.188235,0.8
414,1,1,0,1,0,36,4.25,18,-0.5,0.188235,0.8
414,2,1,0,1,13,9,5.05,17.5,-0.5,0.188235,0.8
415,1,1,0,1,8,32,4.25,24,-5,0.188235,0.8
415,2,1,0,1,0,38,5.05,19,-5,0.188235,0.8
417,1,1,1,1,4,28,4.25,18,3.5,0.188235,0.8
417,2,1,1,1,13,17,5.05,21.5,3.5,0.188235,0.8
418,1,1,0,1,30,15,4.25,37.5,-20,0.188235,0.8
418,2,1,0,1,0,35,5.05,17.5,-20,0.188235,0.8
419,1,2,1,1,3,10,4.25,8,-0.5,0.188235,0.8
419,2,2,1,1,5,5,5.05,7.5,-0.5,0.188235,0.8
421,1,2,1,1,20,10,4.62,25,3.5,0.093074,0.43
421,2,2,1,1,25,7,5.05,28.5,3.5,0.093074,0.43
422,1,2,0,1,0,7,4.75,3.5,6.5,0.063158,0.3
422,2,2,0,1,5,10,5.05,10,6.5,0.063158,0.3
423,1,2,1,1,2,10,4.95,7,13.75,0.020202,0.3
423,2,2,1,1,19,3.5,5.25,20.75,13.75,0.020202,0.3
424,1,2,1,1,3.5,6.5,4.75,6.75,6.75,0.063158,0.5
424,2,2,1,1,12,3,5.25,13.5,6.75,0.063158,0.5
426,1,3,1,1,3,33,4.25,19.5,-2,0.188235,0.8
426,2,3,1,1,5,25,5.05,17.5,-2,0.188235,0.8
427,1,4,0,1,7,8,4.75,11,6.5,0.063158,0.3
427,2,4,0,1,0,35,5.05,17.5,6.5,0.063158,0.3
428,1,4,0,1,0,33,4.62,16.5,5.5,0.093074,0.52
428,2,4,0,1,10,24,5.14,22,5.5,0.093074,0.52
430,1,1,0,0,20,25,4.25,32.5,-8.5,0,0
430,2,1,0,0,0,48,4.25,24,-8.5,0,0
432,1,1,0,0,20,55,4.5,47.5,-17.5,0,0.55
432,2,1,0,0,25,10,5.05,30,-17.5,0,0.55
434,1,1,0,0,15,50,4.25,40,-6.5,0,0
434,2,1,0,0,19,29,4.25,33.5,-6.5,0,0
435,1,1,0,0,1,37.5,4.25,19.75,-3.75,0,0
435,2,1,0,0,0,32,4.25,16,-3.75,0,0
438,1,2,0,0,0,9,4.25,4.5,2,0,0
438,2,2,0,0,2,9,4.25,6.5,2,0,0
441,1,4,0,0,30,10,4.25,35,-20,0,0
441,2,4,0,0,0,30,4.25,15,-20,0,0
443,1,4,0,0,4,19,4.25,13.5,1.5,0,0.1
443,2,4,0,0,5,20,4.35,15,1.5,0,0.1
444,1,4,0,0,12,20,4.25,22,5.5,0,0.25
444,2,4,0,0,10,35,4.5,27.5,5.5,0,0.25
445,1,1,0,0,50,35,5,67.5,-43.5,0,-0.25
445,2,1,0,0,15,18,4.75,24,-43.5,0,-0.25
448,1,1,0,0,8,18,4.75,17,4.5,0,-0.25
448,2,1,0,0,8,27,4.5,21.5,4.5,0,-0.25
449,1,1,0,0,0,25,4.87,12.5,10,0,0.13
449,2,1,0,0,15,15,5,22.5,10,0,0.13
450,1,1,0,0,2,21,4.75,12.5,19,0,0
450,2,1,0,0,27.5,8,4.75,31.5,19,0,0
451,1,1,0,0,10,17,5,18.5,12,0,0
451,2,1,0,0,26,9,5,30.5,12,0,0
454,1,2,1,0,1,9,4.5,5.5,3.5,0,0.5
454,2,2,1,0,0,18,5,9,3.5,0,0.5
455,1,2,1,0,2,8,5.25,6,3,0,-0.25
455,2,2,1,0,3,12,5,9,3,0,-0.25
458,1,2,1,0,2,10,5,7,-0.5,0,0
458,2,2,1,0,2,9,5,6.5,-0.5,0,0
459,1,3,1,0,5,20,4.25,15,-5,0,0.1
459,2,3,1,0,0,20,4.35,10,-5,0,0.1
462,1,3,1,0,2.5,20,5,12.5,1,0,-0.25
462,2,3,1,0,1,25,4.75,13.5,1,0,-0.25
468,1,1,0,0,40,30,5,55,-30,0,0
468,2,1,0,0,9,32,5,25,-30,0,0
469,1,1,0,0,8,27,5,21.5,5,0,-0.5
469,2,1,0,0,7,39,4.5,26.5,5,0,-0.5
470,1,1,0,0,10.5,30,5.5,25.5,-2.5,0,-0.75
470,2,1,0,0,18,10,4.75,23,-2.5,0,-0.75
471,1,1,0,0,25,20,4.25,35,-11.5,0,0
471,2,1,0,0,12,23,4.25,23.5,-11.5,0,0
472,1,1,0,0,37.5,2,4.25,38.5,-18,0,0.65
472,2,1,0,0,8,25,4.9,20.5,-18,0,0.65
473,1,1,0,0,5,27,4.75,18.5,15,0,-0.25
473,2,1,0,0,26,15,4.5,33.5,15,0,-0.25
474,1,1,0,0,6,9,5,10.5,4.5,0,-0.5
474,2,1,0,0,5,20,4.5,15,4.5,0,-0.5
475,1,1,0,0,25,8,4.5,29,-11,0,0
475,2,1,0,0,10,16,4.5,18,-11,0,0
476,1,1,0,0,6,30,4.25,21,-1,0,0.5
476,2,1,0,0,5,30,4.75,20,-1,0,0.5
477,1,1,0,0,8,28,4.25,22,-6,0,2
477,2,1,0,0,6,20,6.25,16,-6,0,2
478,1,1,0,0,32,25,4.5,44.5,-21.5,0,-0.15
478,2,1,0,0,8,30,4.35,23,-21.5,0,-0.15
481,1,2,1,0,5,17.5,5.25,13.75,3.25,0,-0.25
481,2,2,1,0,15,4,5,17,3.25,0,-0.25
483,1,2,1,0,1,15,5,8.5,2,0,-0.25
483,2,2,1,0,4,13,4.75,10.5,2,0,-0.25
485,1,2,1,0,1,9,4.5,5.5,4.5,0,0
485,2,2,1,0,4,12,4.5,10,4.5,0,0
487,1,3,1,0,10,6,5,13,3,0,-0.25
487,2,3,1,0,6,20,4.75,16,3,0,-0.25
488,1,3,0,0,20,13,5,26.5,-14,0,-0.25
488,2,3,0,0,5,15,4.75,12.5,-14,0,-0.25
489,1,3,0,0,5,23,5,16.5,-5,0,-0.75
489,2,3,0,0,2,19,4.25,11.5,-5,0,-0.75
490,1,3,1,0,10,12.5,5,16.25,-5.25,0,0
490,2,3,1,0,2,18,5,11,-5.25,0,0
492,1,3,1,0,2,16,4.5,10,1.5,0,0
492,2,3,1,0,4,15,4.5,11.5,1.5,0,0
493,1,3,1,0,27,12,5,33,-18,0,-0.1
493,2,3,1,0,0,30,4.9,15,-18,0,-0.1
495,1,3,0,0,4,28,5,18,0,0,0
495,2,3,0,0,8,20,5,18,0,0,0
496,1,3,1,0,10,15,5,17.5,-2.5,0,-0.25
496,2,3,1,0,10,10,4.75,15,-2.5,0,-0.25
498,1,4,1,0,20,10,4.75,25,-1.25,0,0.25
498,2,4,1,0,21,5.5,5,23.75,-1.25,0,0.25
499,1,4,1,0,0,28,5,14,1.5,0,0
499,2,4,1,0,0,31,5,15.5,1.5,0,0
501,1,1,0,0,14,15,4.25,21.5,16,0,0.5
501,2,1,0,0,30,15,4.75,37.5,16,0,0.5
503,1,1,0,0,7.5,14,4.75,14.5,23.75,0,-0.25
503,2,1,0,0,35,6.5,4.5,38.25,23.75,0,-0.25
509,1,3,1,0,3,16,5,11,-0.5,0,-0.75
509,2,3,1,0,5.5,10,4.25,10.5,-0.5,0,-0.75
511,1,3,1,0,4,16,4.75,12,-2.5,0,0
511,2,3,1,0,3,13,4.75,9.5,-2.5,0,0
514,1,3,0,0,5,20,4.5,15,16,0,-0.25
514,2,3,0,0,23,16,4.25,31,16,0,-0.25
515,1,3,1,0,7,16,5,15,-0.5,0,-0.25
515,2,3,1,0,5,19,4.75,14.5,-0.5,0,-0.25
516,1,3,1,0,6,22.5,4.75,17.25,-9.25,0,0.16
516,2,3,1,0,2,12,4.91,8,-9.25,0,0.16
521,1,1,0,0,2.5,20,4.25,12.5,-6.5,0,0.15
521,2,1,0,0,0,12,4.4,6,-6.5,0,0.15
522,1,1,0,0,2,30,4.35,17,-2.5,0,-0.1
522,2,1,0,0,3,23,4.25,14.5,-2.5,0,-0.1
